date,region,region_name,cumulative_confirmed,daily_new_confirmed,daily_new_confirmed_ma7
2020-04-12,al,Alabama,3667.0,321.0,251.7142791748047
2020-04-13,al,Alabama,3870.0,203.0,255.85714721679688
2020-04-14,al,Alabama,4041.0,171.0,247.57142639160156
2020-04-15,al,Alabama,4307.0,266.0,241.85714721679688
2020-04-16,al,Alabama,4465.0,158.0,215.85714721679688
2020-04-17,al,Alabama,4557.0,92.0,206.42857360839844
2020-04-18,al,Alabama,4788.0,231.0,206.0
2020-04-19,al,Alabama,4978.0,190.0,187.2857208251953
2020-04-20,al,Alabama,5163.0,185.0,184.7142791748047
2020-04-21,al,Alabama,5404.0,241.0,194.7142791748047
2020-04-22,al,Alabama,5692.0,288.0,197.85714721679688
2020-04-23,al,Alabama,5899.0,207.0,204.85714721679688
2020-04-24,al,Alabama,6092.0,193.0,219.2857208251953
2020-04-25,al,Alabama,6274.0,182.0,212.2857208251953
2020-04-26,al,Alabama,6475.0,201.0,213.85714721679688
2020-04-27,al,Alabama,6621.0,146.0,208.2857208251953
2020-04-28,al,Alabama,6820.0,199.0,202.2857208251953
2020-04-29,al,Alabama,6979.0,159.0,183.85714721679688
2020-04-30,al,Alabama,7187.0,208.0,184.0
2020-05-01,al,Alabama,7440.0,253.0,192.57142639160156
2020-05-02,al,Alabama,7700.0,260.0,203.7142791748047
2020-05-03,al,Alabama,7977.0,277.0,214.57142639160156
2020-05-04,al,Alabama,8203.0,226.0,226.0
2020-05-05,al,Alabama,8520.0,317.0,242.85714721679688
2020-05-06,al,Alabama,8769.0,249.0,255.7142791748047
2020-05-07,al,Alabama,9115.0,346.0,275.4285583496094
2020-05-08,al,Alabama,9437.0,322.0,285.28570556640625
2020-05-09,al,Alabama,9720.0,283.0,288.5714416503906
2020-05-10,al,Alabama,9982.0,262.0,286.4285583496094
2020-05-11,al,Alabama,10262.0,280.0,294.1428527832031
2020-05-12,al,Alabama,10566.0,304.0,292.28570556640625
2020-05-13,al,Alabama,10822.0,256.0,293.28570556640625
2020-05-14,al,Alabama,11161.0,339.0,292.28570556640625
2020-05-15,al,Alabama,11494.0,333.0,293.8571472167969
2020-05-16,al,Alabama,11828.0,334.0,301.1428527832031
2020-05-17,al,Alabama,12137.0,309.0,307.8571472167969
2020-05-18,al,Alabama,12438.0,301.0,310.8571472167969
2020-05-19,al,Alabama,12825.0,387.0,322.71429443359375
2020-05-20,al,Alabama,13186.0,361.0,337.71429443359375
2020-05-21,al,Alabama,13590.0,404.0,347.0
2020-05-22,al,Alabama,13954.0,364.0,351.4285583496094
2020-05-23,al,Alabama,14328.0,374.0,357.1428527832031
2020-05-24,al,Alabama,14676.0,348.0,362.71429443359375
2020-05-25,al,Alabama,15309.0,633.0,410.1428527832031
2020-05-26,al,Alabama,15899.0,590.0,439.1428527832031
2020-05-27,al,Alabama,16263.0,364.0,439.5714416503906
2020-05-28,al,Alabama,16749.0,486.0,451.28570556640625
2020-05-29,al,Alabama,17262.0,513.0,472.5714416503906
2020-05-30,al,Alabama,17689.0,427.0,480.1428527832031
2020-05-31,al,Alabama,18200.0,511.0,503.4285583496094
2020-06-01,al,Alabama,18525.0,325.0,459.4285583496094
2020-06-02,al,Alabama,18734.0,209.0,405.0
2020-06-03,al,Alabama,18954.0,220.0,384.4285583496094
2020-06-04,al,Alabama,19262.0,308.0,359.0
2020-06-05,al,Alabama,19910.0,648.0,378.28570556640625
2020-06-06,al,Alabama,20355.0,445.0,380.8571472167969
2020-06-07,al,Alabama,20777.0,422.0,368.1428527832031
2020-06-08,al,Alabama,21268.0,491.0,391.8571472167969
2020-06-09,al,Alabama,21834.0,566.0,442.8571472167969
2020-06-10,al,Alabama,22659.0,825.0,529.2857055664062
2020-06-11,al,Alabama,23370.0,711.0,586.8571166992188
2020-06-12,al,Alabama,24405.0,1035.0,642.1428833007812
2020-06-13,al,Alabama,25364.0,959.0,715.5714111328125
2020-06-14,al,Alabama,26182.0,818.0,772.1428833007812
2020-06-15,al,Alabama,26485.0,303.0,745.2857055664062
2020-06-16,al,Alabama,27034.0,549.0,742.8571166992188
2020-06-17,al,Alabama,27941.0,907.0,754.5714111328125
2020-06-18,al,Alabama,28676.0,735.0,758.0
2020-06-19,al,Alabama,29225.0,549.0,688.5714111328125
2020-06-20,al,Alabama,29683.0,458.0,617.0
2020-06-21,al,Alabama,30122.0,439.0,562.8571166992188
2020-06-22,al,Alabama,30771.0,649.0,612.2857055664062
2020-06-23,al,Alabama,31889.0,1118.0,693.5714111328125
2020-06-24,al,Alabama,32878.0,989.0,705.2857055664062
2020-06-25,al,Alabama,33880.0,1002.0,743.4285888671875
2020-06-26,al,Alabama,34903.0,1023.0,811.1428833007812
2020-06-27,al,Alabama,35083.0,180.0,771.4285888671875
2020-06-28,al,Alabama,36503.0,1420.0,911.5714111328125
2020-06-29,al,Alabama,37589.0,1086.0,974.0
2020-06-30,al,Alabama,38477.0,888.0,941.1428833007812
2020-07-01,al,Alabama,39647.0,1170.0,967.0
2020-07-02,al,Alabama,41340.0,1693.0,1065.7142333984375
2020-07-03,al,Alabama,42255.0,915.0,1050.2857666015625
2020-07-04,al,Alabama,43216.0,961.0,1161.857177734375
2020-07-05,al,Alabama,44022.0,806.0,1074.142822265625
2020-07-06,al,Alabama,44932.0,910.0,1049.0
2020-07-07,al,Alabama,46348.0,1416.0,1124.4285888671875
2020-07-08,al,Alabama,48149.0,1801.0,1214.5714111328125
2020-07-09,al,Alabama,49695.0,1546.0,1193.5714111328125
2020-07-10,al,Alabama,51329.0,1634.0,1296.2857666015625
2020-07-11,al,Alabama,52802.0,1473.0,1369.4285888671875
2020-07-12,al,Alabama,54781.0,1979.0,1537.0
2020-07-13,al,Alabama,56168.0,1387.0,1605.142822265625
2020-07-14,al,Alabama,58284.0,2116.0,1705.142822265625
2020-07-15,al,Alabama,60194.0,1910.0,1720.7142333984375
2020-07-16,al,Alabama,62128.0,1934.0,1776.142822265625
2020-07-17,al,Alabama,64152.0,2024.0,1831.857177734375
2020-07-18,al,Alabama,66181.0,2029.0,1911.2857666015625
2020-07-19,al,Alabama,67733.0,1552.0,1850.2857666015625
2020-07-20,al,Alabama,69236.0,1503.0,1866.857177734375
2020-07-21,al,Alabama,70600.0,1364.0,1759.4285888671875
2020-07-22,al,Alabama,72594.0,1994.0,1771.4285888671875
2020-07-23,al,Alabama,74685.0,2091.0,1793.857177734375
2020-07-24,al,Alabama,76795.0,2110.0,1806.142822265625
2020-07-25,al,Alabama,78188.0,1393.0,1715.2857666015625
2020-07-26,al,Alabama,79948.0,1760.0,1745.0
2020-07-27,al,Alabama,81256.0,1308.0,1717.142822265625
2020-07-28,al,Alabama,82698.0,1442.0,1728.2857666015625
2020-07-29,al,Alabama,84652.0,1954.0,1722.5714111328125
2020-07-30,al,Alabama,86664.0,2012.0,1711.2857666015625
2020-07-31,al,Alabama,88266.0,1602.0,1638.7142333984375
2020-08-01,al,Alabama,90299.0,2033.0,1730.142822265625
2020-08-02,al,Alabama,91458.0,1159.0,1644.2857666015625
2020-08-03,al,Alabama,92502.0,1044.0,1606.5714111328125
2020-08-04,al,Alabama,93457.0,955.0,1537.0
2020-08-05,al,Alabama,95323.0,1866.0,1524.4285888671875
2020-08-06,al,Alabama,97044.0,1721.0,1482.857177734375
2020-08-07,al,Alabama,98895.0,1851.0,1518.4285888671875
2020-08-08,al,Alabama,99854.0,959.0,1365.0
2020-08-09,al,Alabama,101466.0,1612.0,1429.7142333984375
2020-08-10,al,Alabama,102391.0,925.0,1412.7142333984375
2020-08-11,al,Alabama,103485.0,1094.0,1432.5714111328125
2020-08-12,al,Alabama,104219.0,734.0,1270.857177734375
2020-08-13,al,Alabama,104976.0,757.0,1133.142822265625
2020-08-14,al,Alabama,106096.0,1120.0,1028.7142333984375
2020-08-15,al,Alabama,106926.0,830.0,1010.2857055664062
2020-08-16,al,Alabama,107667.0,741.0,885.8571166992188
2020-08-17,al,Alabama,109092.0,1425.0,957.2857055664062
2020-08-18,al,Alabama,110415.0,1323.0,990.0
2020-08-19,al,Alabama,111696.0,1281.0,1068.142822265625
2020-08-20,al,Alabama,112737.0,1041.0,1108.7142333984375
2020-08-21,al,Alabama,114212.0,1475.0,1159.4285888671875
2020-08-22,al,Alabama,114809.0,597.0,1126.142822265625
2020-08-23,al,Alabama,115485.0,676.0,1116.857177734375
2020-08-24,al,Alabama,116045.0,560.0,993.2857055664062
2020-08-25,al,Alabama,118190.0,2145.0,1110.7142333984375
2020-08-26,al,Alabama,119904.0,1714.0,1172.5714111328125
2020-08-27,al,Alabama,121041.0,1137.0,1186.2857666015625
2020-08-28,al,Alabama,122879.0,1838.0,1238.142822265625
2020-08-29,al,Alabama,124155.0,1276.0,1335.142822265625
2020-08-30,al,Alabama,124944.0,789.0,1351.2857666015625
2020-08-31,al,Alabama,126500.0,1556.0,1493.5714111328125
2020-09-01,al,Alabama,127234.0,734.0,1292.0
2020-09-02,al,Alabama,128240.0,1006.0,1190.857177734375
2020-09-03,al,Alabama,129225.0,985.0,1169.142822265625
2020-09-04,al,Alabama,130373.0,1148.0,1070.5714111328125
2020-09-05,al,Alabama,130914.0,541.0,965.5714111328125
2020-09-06,al,Alabama,131690.0,776.0,963.7142944335938
2020-09-07,al,Alabama,132221.0,531.0,817.2857055664062
2020-09-08,al,Alabama,133005.0,784.0,824.4285888671875
2020-09-09,al,Alabama,134061.0,1056.0,831.5714111328125
2020-09-10,al,Alabama,135138.0,1077.0,844.7142944335938
2020-09-11,al,Alabama,136107.0,969.0,819.1428833007812
2020-09-12,al,Alabama,137166.0,1059.0,893.1428833007812
2020-09-13,al,Alabama,137861.0,695.0,881.5714111328125
2020-09-14,al,Alabama,138619.0,758.0,914.0
2020-09-15,al,Alabama,139660.0,1041.0,950.7142944335938
2020-09-16,al,Alabama,140423.0,763.0,908.8571166992188
2020-09-17,al,Alabama,141454.0,1031.0,902.2857055664062
2020-09-18,al,Alabama,142768.0,1314.0,951.5714111328125
2020-09-19,al,Alabama,143578.0,810.0,916.0
2020-09-20,al,Alabama,144325.0,747.0,923.4285888671875
2020-09-21,al,Alabama,145202.0,877.0,940.4285888671875
2020-09-22,al,Alabama,145859.0,657.0,885.5714111328125
2020-09-23,al,Alabama,146897.0,1038.0,924.8571166992188
2020-09-24,al,Alabama,149263.0,2366.0,1115.5714111328125
2020-09-25,al,Alabama,150239.0,976.0,1067.2857666015625
2020-09-26,al,Alabama,150965.0,726.0,1055.2857666015625
2020-09-27,al,Alabama,151604.0,639.0,1039.857177734375
2020-09-28,al,Alabama,152350.0,746.0,1021.1428833007812
2020-09-29,al,Alabama,153584.0,1234.0,1103.5714111328125
2020-09-30,al,Alabama,154772.0,1188.0,1125.0
2020-10-01,al,Alabama,155727.0,955.0,923.4285888671875
2020-10-02,al,Alabama,157402.0,1675.0,1023.2857055664062
2020-10-03,al,Alabama,158181.0,779.0,1030.857177734375
2020-10-04,al,Alabama,158717.0,536.0,1016.1428833007812
2020-10-05,al,Alabama,159476.0,759.0,1018.0
2020-10-06,al,Alabama,160485.0,1009.0,985.8571166992188
2020-10-07,al,Alabama,161085.0,600.0,901.8571166992188
2020-10-08,al,Alabama,162683.0,1598.0,993.7142944335938
2020-10-09,al,Alabama,163897.0,1214.0,927.8571166992188
2020-10-10,al,Alabama,164698.0,801.0,931.0
2020-10-11,al,Alabama,165414.0,716.0,956.7142944335938
2020-10-12,al,Alabama,166514.0,1100.0,1005.4285888671875
2020-10-13,al,Alabama,167396.0,882.0,987.2857055664062
2020-10-14,al,Alabama,168620.0,1224.0,1076.4285888671875
2020-10-15,al,Alabama,169845.0,1225.0,1023.1428833007812
2020-10-16,al,Alabama,171157.0,1312.0,1037.142822265625
2020-10-17,al,Alabama,172137.0,980.0,1062.7142333984375
2020-10-18,al,Alabama,173002.0,865.0,1084.0
2020-10-19,al,Alabama,174078.0,1076.0,1080.5714111328125
2020-10-20,al,Alabama,175210.0,1132.0,1116.2857666015625
2020-10-21,al,Alabama,176605.0,1395.0,1140.7142333984375
2020-10-22,al,Alabama,180437.0,3832.0,1513.142822265625
2020-10-23,al,Alabama,182567.0,2130.0,1630.0
2020-10-24,al,Alabama,183831.0,1264.0,1670.5714111328125
2020-10-25,al,Alabama,184723.0,892.0,1674.4285888671875
2020-10-26,al,Alabama,185938.0,1215.0,1694.2857666015625
2020-10-27,al,Alabama,187267.0,1329.0,1722.4285888671875
2020-10-28,al,Alabama,188775.0,1508.0,1738.5714111328125
2020-10-29,al,Alabama,190113.0,1338.0,1382.2857666015625
2020-10-30,al,Alabama,191932.0,1819.0,1337.857177734375
2020-10-31,al,Alabama,193613.0,1681.0,1397.4285888671875
2020-11-01,al,Alabama,194458.0,845.0,1390.7142333984375
2020-11-02,al,Alabama,195692.0,1234.0,1393.4285888671875
2020-11-03,al,Alabama,197504.0,1812.0,1462.4285888671875
2020-11-04,al,Alabama,198927.0,1423.0,1450.2857666015625
2020-11-05,al,Alabama,200528.0,1601.0,1487.857177734375
2020-11-06,al,Alabama,202131.0,1603.0,1457.0
2020-11-07,al,Alabama,203518.0,1387.0,1415.0
2020-11-08,al,Alabama,204665.0,1147.0,1458.142822265625
2020-11-09,al,Alabama,206523.0,1858.0,1547.2857666015625
2020-11-10,al,Alabama,206562.0,39.0,1294.0
2020-11-11,al,Alabama,208637.0,2075.0,1387.142822265625
2020-11-12,al,Alabama,210637.0,2000.0,1444.142822265625
2020-11-13,al,Alabama,213617.0,2980.0,1640.857177734375
2020-11-14,al,Alabama,215843.0,2226.0,1760.7142333984375
2020-11-15,al,Alabama,217822.0,1979.0,1879.5714111328125
2020-11-16,al,Alabama,219232.0,1410.0,1815.5714111328125
2020-11-17,al,Alabama,220848.0,1616.0,2040.857177734375
2020-11-18,al,Alabama,223486.0,2638.0,2121.28564453125
2020-11-19,al,Alabama,225910.0,2424.0,2181.857177734375
2020-11-20,al,Alabama,228373.0,2463.0,2108.0
2020-11-21,al,Alabama,230708.0,2335.0,2123.571533203125
2020-11-22,al,Alabama,232506.0,1798.0,2097.71435546875
2020-11-23,al,Alabama,234080.0,1574.0,2121.142822265625
2020-11-24,al,Alabama,236865.0,2785.0,2288.142822265625
2020-11-25,al,Alabama,239318.0,2453.0,2261.71435546875
2020-11-26,al,Alabama,241957.0,2639.0,2292.428466796875
2020-11-27,al,Alabama,242874.0,917.0,2071.571533203125
2020-11-28,al,Alabama,244993.0,2119.0,2040.7142333984375
2020-11-29,al,Alabama,247229.0,2236.0,2103.28564453125
2020-11-30,al,Alabama,249524.0,2295.0,2206.28564453125
2020-12-01,al,Alabama,252900.0,3376.0,2290.71435546875
2020-12-02,al,Alabama,256828.0,3928.0,2501.428466796875
2020-12-03,al,Alabama,260359.0,3531.0,2628.857177734375
2020-12-04,al,Alabama,264199.0,3840.0,3046.428466796875
2020-12-05,al,Alabama,267589.0,3390.0,3228.0
2020-12-06,al,Alabama,269877.0,2288.0,3235.428466796875
2020-12-07,al,Alabama,272229.0,2352.0,3243.571533203125
2020-12-08,al,Alabama,276665.0,4436.0,3395.0
2020-12-09,al,Alabama,280187.0,3522.0,3337.0
2020-12-10,al,Alabama,284922.0,4735.0,3509.0
2020-12-11,al,Alabama,288775.0,3853.0,3510.857177734375
2020-12-12,al,Alabama,292841.0,4066.0,3607.428466796875
2020-12-13,al,Alabama,295631.0,2790.0,3679.142822265625
2020-12-14,al,Alabama,297895.0,2264.0,3666.571533203125
2020-12-15,al,Alabama,301533.0,3638.0,3552.571533203125
2020-12-16,al,Alabama,305640.0,4107.0,3636.142822265625
2020-12-17,al,Alabama,310335.0,4695.0,3630.428466796875
2020-12-18,al,Alabama,315683.0,5348.0,3844.0
2020-12-19,al,Alabama,319904.0,4221.0,3866.142822265625
2020-12-20,al,Alabama,322452.0,2548.0,3831.571533203125
2020-12-21,al,Alabama,324832.0,2380.0,3848.142822265625
2020-12-22,al,Alabama,329811.0,4979.0,4039.71435546875
2020-12-23,al,Alabama,334569.0,4758.0,4132.71435546875
2020-12-24,al,Alabama,338801.0,4232.0,4066.571533203125
2020-12-25,al,Alabama,342426.0,3625.0,3820.428466796875
2020-12-26,al,Alabama,343458.0,1032.0,3364.857177734375
2020-12-27,al,Alabama,345628.0,2170.0,3310.857177734375
2020-12-28,al,Alabama,347897.0,2269.0,3295.0
2020-12-29,al,Alabama,351804.0,3907.0,3141.857177734375
2020-12-30,al,Alabama,356820.0,5016.0,3178.71435546875
2020-12-31,al,Alabama,361226.0,4406.0,3203.571533203125
2021-01-01,al,Alabama,365747.0,4521.0,3331.571533203125
2021-01-02,al,Alabama,369458.0,3711.0,3714.28564453125
2021-01-03,al,Alabama,371934.0,2476.0,3758.0
2021-01-04,al,Alabama,374095.0,2161.0,3742.571533203125
2021-01-05,al,Alabama,379593.0,5498.0,3969.857177734375
2021-01-06,al,Alabama,384184.0,4591.0,3909.142822265625
2021-01-07,al,Alabama,389230.0,5046.0,4000.571533203125
2021-01-08,al,Alabama,394287.0,5057.0,4077.142822265625
2021-01-09,al,Alabama,399150.0,4863.0,4241.71435546875
2021-01-10,al,Alabama,401900.0,2750.0,4280.85693359375
2021-01-11,al,Alabama,404000.0,2100.0,4272.14306640625
2021-01-12,al,Alabama,407848.0,3848.0,4036.428466796875
2021-01-13,al,Alabama,410995.0,3147.0,3830.142822265625
2021-01-14,al,Alabama,414583.0,3588.0,3621.857177734375
2021-01-15,al,Alabama,417528.0,2945.0,3320.142822265625
2021-01-16,al,Alabama,420681.0,3153.0,3075.857177734375
2021-01-17,al,Alabama,422598.0,1917.0,2956.857177734375
2021-01-18,al,Alabama,424028.0,1430.0,2861.142822265625
2021-01-19,al,Alabama,426543.0,2515.0,2670.71435546875
2021-01-20,al,Alabama,429655.0,3112.0,2665.71435546875
2021-01-21,al,Alabama,432536.0,2881.0,2564.71435546875
2021-01-22,al,Alabama,436087.0,3551.0,2651.28564453125
2021-01-23,al,Alabama,439442.0,3355.0,2680.142822265625
2021-01-24,al,Alabama,441170.0,1728.0,2653.142822265625
2021-01-25,al,Alabama,443009.0,1839.0,2711.571533203125
2021-01-26,al,Alabama,445909.0,2900.0,2766.571533203125
2021-01-27,al,Alabama,449086.0,3177.0,2775.857177734375
2021-01-28,al,Alabama,452734.0,3648.0,2885.428466796875
2021-01-29,al,Alabama,455582.0,2848.0,2785.0
2021-01-30,al,Alabama,455582.0,0.0,2305.71435546875
2021-01-31,al,Alabama,459639.0,4057.0,2638.428466796875
2021-02-01,al,Alabama,460860.0,1221.0,2550.142822265625
2021-02-02,al,Alabama,462938.0,2078.0,2432.71435546875
2021-02-03,al,Alabama,465056.0,2118.0,2281.428466796875
2021-02-04,al,Alabama,467823.0,2767.0,2155.571533203125
2021-02-05,al,Alabama,469319.0,1496.0,1962.4285888671875
2021-02-06,al,Alabama,471311.0,1992.0,2247.0
2021-02-07,al,Alabama,472423.0,1112.0,1826.2857666015625
2021-02-08,al,Alabama,473348.0,925.0,1784.0
2021-02-09,al,Alabama,474666.0,1318.0,1675.4285888671875
2021-02-10,al,Alabama,476067.0,1401.0,1573.0
2021-02-11,al,Alabama,477570.0,1503.0,1392.4285888671875
2021-02-12,al,Alabama,478667.0,1097.0,1335.4285888671875
2021-02-13,al,Alabama,479856.0,1189.0,1220.7142333984375
2021-02-14,al,Alabama,480931.0,1075.0,1215.4285888671875
2021-02-15,al,Alabama,481605.0,674.0,1179.5714111328125
2021-02-16,al,Alabama,482488.0,883.0,1117.4285888671875
2021-02-17,al,Alabama,483167.0,679.0,1014.2857055664062
2021-02-18,al,Alabama,484365.0,1198.0,970.7142944335938
2021-02-19,al,Alabama,485212.0,847.0,935.0
2021-02-20,al,Alabama,485986.0,774.0,875.7142944335938
2021-02-21,al,Alabama,486843.0,857.0,844.5714111328125
2021-02-22,al,Alabama,487520.0,677.0,845.0
2021-02-23,al,Alabama,488973.0,1453.0,926.4285888671875
2021-02-24,al,Alabama,490220.0,1247.0,1007.5714111328125
2021-02-25,al,Alabama,491110.0,890.0,963.5714111328125
2021-02-26,al,Alabama,491849.0,739.0,948.1428833007812
2021-02-27,al,Alabama,492683.0,834.0,956.7142944335938
2021-02-28,al,Alabama,493252.0,569.0,915.5714111328125
2021-03-01,al,Alabama,493769.0,517.0,892.7142944335938
2021-03-02,al,Alabama,494421.0,652.0,778.2857055664062
2021-03-03,al,Alabama,497154.0,2733.0,990.5714111328125
2021-03-04,al,Alabama,498076.0,922.0,995.1428833007812
2021-03-05,al,Alabama,498887.0,811.0,1005.4285888671875
2021-03-06,al,Alabama,499411.0,524.0,961.1428833007812
2021-03-07,al,Alabama,499819.0,408.0,938.1428833007812
2021-03-08,al,Alabama,500092.0,273.0,903.2857055664062
2021-03-09,al,Alabama,500616.0,524.0,885.0
2021-03-10,al,Alabama,501398.0,782.0,606.2857055664062
2021-03-11,al,Alabama,502263.0,865.0,598.1428833007812
2021-03-12,al,Alabama,502711.0,448.0,546.2857055664062
2021-03-13,al,Alabama,503305.0,594.0,556.2857055664062
2021-03-14,al,Alabama,503673.0,368.0,550.5714111328125
2021-03-15,al,Alabama,508229.0,4556.0,1162.4285888671875
2021-03-16,al,Alabama,508717.0,488.0,1157.2857666015625
2021-03-17,al,Alabama,509476.0,759.0,1154.0
2021-03-18,al,Alabama,510048.0,572.0,1112.142822265625
2021-03-19,al,Alabama,510579.0,531.0,1124.0
2021-03-20,al,Alabama,511087.0,508.0,1111.7142333984375
2021-03-21,al,Alabama,511460.0,373.0,1112.4285888671875
2021-03-22,al,Alabama,511779.0,319.0,507.1428527832031
2021-03-23,al,Alabama,511789.0,10.0,438.8571472167969
2021-03-24,al,Alabama,512711.0,922.0,462.1428527832031
2021-03-25,al,Alabama,513138.0,427.0,441.4285583496094
2021-03-26,al,Alabama,513580.0,442.0,428.71429443359375
2021-03-27,al,Alabama,514072.0,492.0,426.4285583496094
2021-03-28,al,Alabama,514391.0,319.0,418.71429443359375
2021-03-29,al,Alabama,514619.0,228.0,405.71429443359375
2021-03-30,al,Alabama,514980.0,361.0,455.8571472167969
2021-03-31,al,Alabama,515388.0,408.0,382.4285583496094
2021-04-01,al,Alabama,515866.0,478.0,389.71429443359375
2021-04-02,al,Alabama,516266.0,400.0,383.71429443359375
2021-04-03,al,Alabama,516615.0,349.0,363.28570556640625
2021-04-04,al,Alabama,516809.0,194.0,345.4285583496094
2021-04-05,al,Alabama,516918.0,109.0,328.4285583496094
2021-04-06,al,Alabama,517114.0,196.0,304.8571472167969
2021-04-07,al,Alabama,517452.0,338.0,294.8571472167969
2021-04-08,al,Alabama,517916.0,464.0,292.8571472167969
2021-04-09,al,Alabama,518234.0,318.0,281.1428527832031
2021-04-10,al,Alabama,518588.0,354.0,281.8571472167969
2021-04-11,al,Alabama,518899.0,311.0,298.5714416503906
2021-04-12,al,Alabama,519071.0,172.0,307.5714416503906
2021-04-13,al,Alabama,520503.0,1432.0,484.1428527832031
2021-04-14,al,Alabama,520780.0,277.0,475.4285583496094
2021-04-15,al,Alabama,521201.0,421.0,469.28570556640625
2021-04-16,al,Alabama,521623.0,422.0,484.1428527832031
2021-04-17,al,Alabama,522131.0,508.0,506.1428527832031
2021-04-18,al,Alabama,522401.0,270.0,500.28570556640625
2021-04-19,al,Alabama,522512.0,111.0,491.5714416503906
2021-04-20,al,Alabama,523955.0,1443.0,493.1428527832031
2021-04-21,al,Alabama,524367.0,412.0,512.4285888671875
2021-04-22,al,Alabama,525049.0,682.0,549.7142944335938
2021-04-23,al,Alabama,525477.0,428.0,550.5714111328125
2021-04-24,al,Alabama,525898.0,421.0,538.1428833007812
2021-04-25,al,Alabama,526131.0,233.0,532.8571166992188
2021-04-26,al,Alabama,526348.0,217.0,548.0
2021-04-27,al,Alabama,526707.0,359.0,393.1428527832031
2021-04-28,al,Alabama,527083.0,376.0,388.0
2021-04-29,al,Alabama,527513.0,430.0,352.0
2021-04-30,al,Alabama,527922.0,409.0,349.28570556640625
2021-05-01,al,Alabama,528309.0,387.0,344.4285583496094
2021-05-02,al,Alabama,528597.0,288.0,352.28570556640625
2021-05-03,al,Alabama,528784.0,187.0,348.0
2021-05-04,al,Alabama,528784.0,0.0,296.71429443359375
2021-05-05,al,Alabama,529446.0,662.0,337.5714416503906
2021-05-06,al,Alabama,530011.0,565.0,356.8571472167969
2021-05-07,al,Alabama,530325.0,314.0,343.28570556640625
2021-05-08,al,Alabama,530744.0,419.0,347.8571472167969
2021-05-09,al,Alabama,530988.0,244.0,341.5714416503906
2021-05-10,al,Alabama,531094.0,106.0,330.0
2021-05-11,al,Alabama,531404.0,310.0,374.28570556640625
2021-05-12,al,Alabama,531751.0,347.0,329.28570556640625
2021-05-13,al,Alabama,532895.0,1144.0,412.0
2021-05-14,al,Alabama,537813.0,4918.0,1069.7142333984375
2021-05-15,al,Alabama,539829.0,2016.0,1297.857177734375
2021-05-16,al,Alabama,540083.0,254.0,1299.2857666015625
2021-05-17,al,Alabama,540267.0,184.0,1310.4285888671875
2021-05-18,al,Alabama,540603.0,336.0,1314.142822265625
2021-05-19,al,Alabama,540891.0,288.0,1305.7142333984375
2021-05-20,al,Alabama,541230.0,339.0,1190.7142333984375
2021-05-21,al,Alabama,541673.0,443.0,551.4285888671875
2021-05-22,al,Alabama,541928.0,255.0,299.8571472167969
